Product,Price Each,Product_Key,Product_Cost
iPhone,700,1,301
Lightning Charging Cable,14.95,2,8.671
Wired Headphones,11.99,3,5.8751
27in FHD Monitor,149.99,4,82.4945
AAA Batteries (4-pack),2.99,5,1.5548
27in 4K Gaming Monitor,389.99,6,163.7958
USB-C Charging Cable,11.95,7,5.258
Bose SoundSport Headphones,99.99,8,50.9949
Apple Airpods Headphones,150,9,67.5
Macbook Pro Laptop,1700,10,884
Flatscreen TV,300,11,123
Vareebadd Phone,400,12,180
AA Batteries (4-pack),3.84,13,1.6896
Google Phone,600,14,342
20in Monitor,109.99,15,64.8941
34in Ultrawide Monitor,379.99,16,182.3952
ThinkPad Laptop,999.99,17,489.9951
LG Dryer,600,18,282
LG Washing Machine,600,19,288
